average,平均,1
globe（the〜）,地球,2
grin,にっこり笑う,3
Internet,インターネット,4
order (名詞),注文,5
receive,…を受け取る,6
via,…経由で,7
weekday,平日,8
corporation,会社,9
multinational,多国籍の,10
unemployed,失業した,11
unfortunately,残念なことに,12
well (間投詞),えーっと,13
astonish,…をびっくりさせる,14
autumn,秋,15
cease,…をやめる,16
countryside(the〜),田舎,17
full-time,全時間勤務の,18
guess,…を推測する,19
quit,…をやめる,20
cherish,…を大切にする,21
late,亡くなった，遅くまで,22
loose,ぐらぐらした,23
sew,…を縫う,24
bump,ぶつかる,25
move,引っ越しをする,26
neighborhood,近所，特定の地区,27
suburb,郊外,28
anybody,いかなる人,29
as(前置詞),…として，…の頃,30
earn,（金・生計を）得る,31
guard,警備員,32
currency,通貨,33
current,現行の,34
dollar,ドル,35
equivalent,等しい,36
exchange（名詞）,交換,37
major(形容詞),主要な,38
rate,率，料金,39
strengthen,強くなる,40
boring,退屈な,41
horrible,ひどい,42
such,そのような,43
blind,盲目の,44
deaf,耳が聞こえない,45
disability,身体的障害,46
person,人,47
struggle,もがく,48
ages,長い時間,49
appointment,予約，任命,50
normally,通常は,51
punctual,時間［期限］をきちんと守る,52
chest,胸,53
dull,鈍い,54
pain,痛み,55
proper,適切な,56
see,…に診てもらう［相談する］,57
double(動詞),２倍になる,58
length,長さ,59
lizard,トカゲ,60
reach,…に達する,61
really,非常に,62
within,…以内に,63
recognize,…だとわかる，…を認める,64
candidate,候補者,65
cheerfully,陽気に,66
greet,…を出迎える,67
loyal,忠実な,68
presidential,大統領（職）の,69
shake,…を振る,70
supporter,支援者,71
turn （名詞）,順番,72
(up)on,…と同時に,73
as(接続詞),…なので，…と同時に，…のように,74
death,死,75
entire,…全体,76
estate,遺産,77
heir,相続人,78
inherit,…を相続する,79
millionaire,百万長者,80
stepson,義理の息子,81
sudden,突然の,82
will (名詞),遺言，意志,83
catastrophe,大惨事,84
cause(動詞),…をもたらす,85
editorial,社説,86
imply,…をほのめかす,87
procedure,手続き,88
safety,安全,89
tragic,悲劇的な,90
actual,実際の,91
bleak,見通しが暗い,92
crop,作物,93
dismal,憂鬱な,94
forecast,予測,95
grain,穀物，穀物の粒,96
harvest,収穫,97
however(副詞),しかし,98
initial,当初の,99
outlook,見通し,100
surpass,…を越える,101
allowance,小遣い,102
fare,料金,103
postal,郵便の,104
raise (動詞),…を上げる，…を育てる,105
reduce,…を減らす,106
rise (動詞),上がる,107
subway,地下鉄,108
administration,経営，政権,109
degree,学位，度,110
entitle,…に資格を与える,111
master,修士号,112
pay (名詞),給料,113
qualification,資格,114
raise (名詞),給料のアップ,115
recently,最近,116
salary,給料,117
you,人,118
baggage,荷物,119
bomb,爆弾,120
